id,exp_date,exp_desc,amount,exp_month,exp_year,recurring,recurring_period,category_id,recurring_start,user_id,payment_id,created_on,updated_on
40,,Aviva Group Term Life Insurance,9.27,1,2019,TRUE,M,42,2019-01-01,1,12,2022-03-28,2022-06-28
41,,Accident Plan,13.65,1,2019,TRUE,M,3,,1,12,2022-03-28,2022-06-28
42,,Estimated Food Exepnse,200,1,2019,FALSE,,35,,1,11,2022-03-28,2022-06-28
44,,NTUC Income,40,1,2019,TRUE,M,2,2019-01-01,1,12,2022-03-28,2022-06-28
45,,Allowance to Parents,500,1,2019,TRUE,M,6,2019-01-01,1,11,2022-03-28,2022-06-28
46,,Starhub Phone Bill,24.95,1,2019,TRUE,M,5,2019-01-01,1,4,2022-03-28,2022-06-28
47,,Hospitalization Plan (Sept),26.83,1,2019,TRUE,M,1,2019-01-01,1,4,2022-03-28,2022-06-28
888,2019-02-01,Lunch,5.3,2,2019,FALSE,,35,,1,3,2022-03-28,2022-06-28
958,2019-02-01,Dinner,8.95,2,2019,FALSE,,35,,1,3,2022-03-28,2022-06-28
140,2019-02-02,MRT to Town,2,2,2019,FALSE,,11,,1,4,2022-03-28,2022-06-28
205,2019-02-02,Dim Sum Brunch,10,2,2019,FALSE,,36,,1,4,2022-03-28,2022-06-28
206,2019-02-02,Dinner,19,2,2019,FALSE,,36,,1,4,2022-03-28,2022-06-28
482,2019-02-02,Cab Back Home,20,2,2019,FALSE,,39,,1,11,2022-03-28,2022-06-28
793,2019-02-02,Wine + Club,111,2,2019,FALSE,,28,,1,4,2022-03-28,2022-06-28
1,2019-02-03,Breakfast,3.5,2,2019,FALSE,,35,,1,3,2022-03-28,2022-06-28
2,2019-02-03,Lunch,4.3,2,2019,FALSE,,35,,1,12,2022-03-28,2022-06-28
48,2019-02-03,Dinner,5,2,2019,FALSE,,35,,1,12,2022-03-28,2022-06-28
141,2019-02-03,MRT,4,2,2019,FALSE,,11,,1,4,2022-03-28,2022-06-28
142,2019-02-04,Lunch,4.5,2,2019,FALSE,,35,,1,12,2022-03-28,2022-06-28
143,2019-02-05,MRT,5,2,2019,FALSE,,11,,1,4,2022-03-28,2022-06-28
208,2019-02-05,KFC Lunch,10.5,2,2019,FALSE,,35,,1,12,2022-03-28,2022-06-28
144,2019-02-06,MRT,5,2,2019,FALSE,,11,,1,4,2022-03-28,2022-06-28
283,2019-02-06,Lunch,6,2,2019,FALSE,,35,,1,12,2022-03-28,2022-06-28
483,2019-02-06,Snacks,2.35,2,2019,FALSE,,37,,1,12,2022-03-28,2022-06-28
145,2019-02-07,MRT,4,2,2019,FALSE,,11,,1,4,2022-03-28,2022-06-28
284,2019-02-07,Sofa,100,2,2019,FALSE,,38,,1,4,2022-03-28,2022-06-28
395,2019-02-07,Lunch,4,2,2019,FALSE,,35,,1,12,2022-03-28,2022-06-28
484,2019-02-07,Dinner,4,2,2019,FALSE,,35,,1,12,2022-03-28,2022-06-28
587,2019-02-08,Lunch,3.5,2,2019,FALSE,,35,,1,12,2022-03-28,2022-06-28
209,2019-02-09,Dinner,14,2,2019,FALSE,,36,,1,4,2022-03-28,2022-06-28
285,2019-02-09,Wave House,20,2,2019,FALSE,,27,,1,11,2022-03-28,2022-06-28
959,2019-02-09,Gambling,10,2,2019,FALSE,,26,,1,11,2022-03-28,2022-06-28
210,2019-02-10,MRT/Bus,5,2,2019,FALSE,,11,,1,4,2022-03-28,2022-06-28
712,2019-02-10,Lunch,5,2,2019,FALSE,,35,,1,12,2022-03-28,2022-06-28
211,2019-02-11,MRT,2,2,2019,FALSE,,11,,1,4,2022-03-28,2022-06-28
485,2019-02-11,Cab to Buffet,7,2,2019,FALSE,,39,,1,11,2022-03-28,2022-06-28
794,2019-02-11,Breakfast,2.2,2,2019,FALSE,,35,,1,12,2022-03-28,2022-06-28
